suite,seed,method,validation_loss_threshold,first_wandb_step_at_or_below,time_elapsed_at_first_step_s
owt24l_12k,2024,no_cproj_k,5.7,7500.0,885.4417607784271
owt24l_12k,2024,no_cproj_k,5.6,9500.0,1110.5501816272736
owt24l_12k,2024,no_cproj_k,5.5,,
owt24l_12k,2024,no_cproj_k,5.2,,
owt24l_12k,2024,no_cproj_k,5.1,,
owt24l_12k,2024,no_cproj_k,5.0,,
owt24l_12k,2024,no_cproj_k,4.0,,
owt24l_12k,2024,no_cproj_k,3.9,,
owt24l_12k,2024,no_cproj_k,3.8,,
owt24l_12k,2024,no_cproj_k,3.7,,
owt24l_12k,2024,no_cproj_k,3.6,,
owt24l_12k,2024,no_cproj_k,3.55,,
owt24l_12k,2024,no_cproj_k,3.5,,
